/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0117 cost= 51.577125549
Epoch: 0118 cost= 51.566448212
Epoch: 0119 cost= 51.555595398
Epoch: 0120 cost= 51.544960022
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Reloading previous weights after core set training
creating a new head
Current task: 1
Epoch: 0001 cost= 0.919021487
Epoch: 0002 cost= 0.824001074
Epoch: 0003 cost= 0.715761840
Epoch: 0004 cost= 0.587358952
Epoch: 0005 cost= 0.519038200
Epoch: 0006 cost= 0.580028415
Epoch: 0007 cost= 0.422523141
Epoch: 0008 cost= 0.443755895
Epoch: 0009 cost= 0.398420691
Epoch: 0010 cost= 0.419560730
Epoch: 0011 cost= 0.368015707
Epoch: 0012 cost= 0.354753435
Epoch: 0013 cost= 0.359006643
Epoch: 0014 cost= 0.347590148
Epoch: 0015 cost= 0.358459651
Epoch: 0016 cost= 0.342339337
Epoch: 0017 cost= 0.327631325
Epoch: 0018 cost= 0.331408322
Epoch: 0019 cost= 0.324773312
Epoch: 0020 cost= 0.358482838
Epoch: 0021 cost= 0.320931613
Epoch: 0022 cost= 0.329217792
Epoch: 0023 cost= 0.320488453
Epoch: 0024 cost= 0.311342865
Epoch: 0025 cost= 0.332877725
Epoch: 0026 cost= 0.327968359
Epoch: 0027 cost= 0.320895463
Epoch: 0028 cost= 0.309370875
Epoch: 0029 cost= 0.314767808
Epoch: 0030 cost= 0.318294317
Epoch: 0031 cost= 0.305161774
Epoch: 0032 cost= 0.304546684
Epoch: 0033 cost= 0.299769700
Epoch: 0034 cost= 0.294572800
Epoch: 0035 cost= 0.303601503
Epoch: 0036 cost= 0.295353621
Epoch: 0037 cost= 0.299667776
Epoch: 0038 cost= 0.290968686
Epoch: 0039 cost= 0.293853939
Epoch: 0040 cost= 0.302327335
Epoch: 0041 cost= 0.285172045
Epoch: 0042 cost= 0.277741611
Epoch: 0043 cost= 0.304283500
Epoch: 0044 cost= 0.294570506
Epoch: 0045 cost= 0.281047702
Epoch: 0046 cost= 0.279096246
Epoch: 0047 cost= 0.278475285
Epoch: 0048 cost= 0.268760502
Epoch: 0049 cost= 0.274964392
Epoch: 0050 cost= 0.275784343
Epoch: 0051 cost= 0.276354820
Epoch: 0052 cost= 0.273681909
Epoch: 0053 cost= 0.273924768
Epoch: 0054 cost= 0.271781445
Epoch: 0055 cost= 0.277935088
Epoch: 0056 cost= 0.282968283
Epoch: 0057 cost= 0.278614104
Epoch: 0058 cost= 0.280328751
Epoch: 0059 cost= 0.275731117
Epoch: 0060 cost= 0.263776422
Epoch: 0061 cost= 0.270377457
Epoch: 0062 cost= 0.266202003
Epoch: 0063 cost= 0.266375393
Epoch: 0064 cost= 0.267464042
Epoch: 0065 cost= 0.256915331
Epoch: 0066 cost= 0.267335355
Epoch: 0067 cost= 0.279554784
Epoch: 0068 cost= 0.271183789
Epoch: 0069 cost= 0.278796762
Epoch: 0070 cost= 0.280287594
Epoch: 0071 cost= 0.267282128
Epoch: 0072 cost= 0.267514676
Epoch: 0073 cost= 0.274882257
Epoch: 0074 cost= 0.259193838
Epoch: 0075 cost= 0.258861244
Epoch: 0076 cost= 0.260704517
Epoch: 0077 cost= 0.253949821
Epoch: 0078 cost= 0.260014027
Epoch: 0079 cost= 0.265915751
Epoch: 0080 cost= 0.268847376
Epoch: 0081 cost= 0.272302359
Epoch: 0082 cost= 0.268737495
Epoch: 0083 cost= 0.277846873
Epoch: 0084 cost= 0.247593299
Epoch: 0085 cost= 0.253988743
Epoch: 0086 cost= 0.250586331
Epoch: 0087 cost= 0.262106806
Epoch: 0088 cost= 0.268821627
Epoch: 0089 cost= 0.264947593
Epoch: 0090 cost= 0.267333865
Epoch: 0091 cost= 0.274626672
Epoch: 0092 cost= 0.290494859
Epoch: 0093 cost= 0.295605659
Epoch: 0094 cost= 0.266519815
Epoch: 0095 cost= 0.270723224
Epoch: 0096 cost= 0.292608976
Epoch: 0097 cost= 0.250586331
Epoch: 0098 cost= 0.351950467
Epoch: 0099 cost= 0.267077684
Epoch: 0100 cost= 0.288416207
Epoch: 0101 cost= 0.348198593
Epoch: 0102 cost= 0.288600534
Epoch: 0103 cost= 0.264054865
Epoch: 0104 cost= 0.270226300
Epoch: 0105 cost= 0.291635334
Epoch: 0106 cost= 0.283169895
Epoch: 0107 cost= 0.294519573
Epoch: 0108 cost= 0.275435776
Epoch: 0109 cost= 0.279387474
Epoch: 0110 cost= 0.296263099
Epoch: 0111 cost= 0.286649227
Epoch: 0112 cost= 0.290622979
Epoch: 0113 cost= 0.276135266
Epoch: 0114 cost= 0.258833498
Epoch: 0115 cost= 0.265530020
Epoch: 0116 cost= 0.272174627
Epoch: 0117 cost= 0.265632212
Epoch: 0118 cost= 0.277857602
Epoch: 0119 cost= 0.265083760
Epoch: 0120 cost= 0.255641967
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9774730656219393
Reloading previous weights after core set training
creating a new head
Current task: 2
Epoch: 0001 cost= 0.869323671
Epoch: 0002 cost= 0.696111202
Epoch: 0003 cost= 0.610151768
Epoch: 0004 cost= 0.536783099
Epoch: 0005 cost= 0.499669433
Epoch: 0006 cost= 0.445297182
Epoch: 0007 cost= 0.400003016
Epoch: 0008 cost= 0.356682539
Epoch: 0009 cost= 0.365157068
Epoch: 0010 cost= 0.335592061
Epoch: 0011 cost= 0.336543500
Epoch: 0012 cost= 0.310338736
Epoch: 0013 cost= 0.307932466
Epoch: 0014 cost= 0.303439736
Epoch: 0015 cost= 0.306856990
Epoch: 0016 cost= 0.300191343
Epoch: 0017 cost= 0.292499244
Epoch: 0018 cost= 0.281586826
Epoch: 0019 cost= 0.292543501
Epoch: 0020 cost= 0.284495294
Epoch: 0021 cost= 0.281737208
Epoch: 0022 cost= 0.281077921
Epoch: 0023 cost= 0.279796243
Epoch: 0024 cost= 0.275366098
Epoch: 0025 cost= 0.273205280
Epoch: 0026 cost= 0.270818114
Epoch: 0027 cost= 0.270536125
Epoch: 0028 cost= 0.267429769
Epoch: 0029 cost= 0.279071897
Epoch: 0030 cost= 0.264008045
Epoch: 0031 cost= 0.267740846
Epoch: 0032 cost= 0.260363489
Epoch: 0033 cost= 0.275808334
Epoch: 0034 cost= 0.258548796
Epoch: 0035 cost= 0.259743631
Epoch: 0036 cost= 0.251748919
Epoch: 0037 cost= 0.251895517
Epoch: 0038 cost= 0.252490252
Epoch: 0039 cost= 0.246586993
Epoch: 0040 cost= 0.253269702
Epoch: 0041 cost= 0.246902287
Epoch: 0042 cost= 0.244223893
Epoch: 0043 cost= 0.242805645
Epoch: 0044 cost= 0.245178089
Epoch: 0045 cost= 0.238068432
Epoch: 0046 cost= 0.234571844
Epoch: 0047 cost= 0.244450092
Epoch: 0048 cost= 0.234864846
Epoch: 0049 cost= 0.237213969
Epoch: 0050 cost= 0.237291262
Epoch: 0051 cost= 0.235230491
Epoch: 0052 cost= 0.236200020
Epoch: 0053 cost= 0.238055304
Epoch: 0054 cost= 0.232703090
Epoch: 0055 cost= 0.226433903
Epoch: 0056 cost= 0.231475800
Epoch: 0057 cost= 0.239062354
Epoch: 0058 cost= 0.230905488
Epoch: 0059 cost= 0.244006068
Epoch: 0060 cost= 0.237340301
Epoch: 0061 cost= 0.228212908
Epoch: 0062 cost= 0.229872912
