/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0104 cost= 51.719921112
Epoch: 0105 cost= 51.709121704
Epoch: 0106 cost= 51.698429108
Epoch: 0107 cost= 51.687637329
Epoch: 0108 cost= 51.676876068
Epoch: 0109 cost= 51.666110992
Epoch: 0110 cost= 51.655494690
Epoch: 0111 cost= 51.644599915
Epoch: 0112 cost= 51.633785248
Epoch: 0113 cost= 51.623035431
Epoch: 0114 cost= 51.612297058
Epoch: 0115 cost= 51.601608276
Epoch: 0116 cost= 51.590831757
Epoch: 0117 cost= 51.580059052
Epoch: 0118 cost= 51.569522858
Epoch: 0119 cost= 51.558673859
Epoch: 0120 cost= 51.547935486
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Reloading previous weights after core set training
creating a new head
Current task: 1
Epoch: 0001 cost= 1.368647218
Epoch: 0002 cost= 1.243331194
Epoch: 0003 cost= 1.090861440
Epoch: 0004 cost= 0.806376696
Epoch: 0005 cost= 0.712586164
Epoch: 0006 cost= 0.689186454
Epoch: 0007 cost= 0.662203550
Epoch: 0008 cost= 0.582374871
Epoch: 0009 cost= 0.485736519
Epoch: 0010 cost= 0.478121936
Epoch: 0011 cost= 0.468219131
Epoch: 0012 cost= 0.448602617
Epoch: 0013 cost= 0.431219965
Epoch: 0014 cost= 0.456182778
Epoch: 0015 cost= 0.375650346
Epoch: 0016 cost= 0.369294524
Epoch: 0017 cost= 0.361074835
Epoch: 0018 cost= 0.353416085
Epoch: 0019 cost= 0.359730840
Epoch: 0020 cost= 0.363568962
Epoch: 0021 cost= 0.379400164
Epoch: 0022 cost= 0.377532005
Epoch: 0023 cost= 0.367582738
Epoch: 0024 cost= 0.348689795
Epoch: 0025 cost= 0.347961962
Epoch: 0026 cost= 0.353702903
Epoch: 0027 cost= 0.332965612
Epoch: 0028 cost= 0.384081125
Epoch: 0029 cost= 0.339010060
Epoch: 0030 cost= 0.328466475
Epoch: 0031 cost= 0.341118366
Epoch: 0032 cost= 0.333113790
Epoch: 0033 cost= 0.333232790
Epoch: 0034 cost= 0.336182833
Epoch: 0035 cost= 0.332620263
Epoch: 0036 cost= 0.321027935
Epoch: 0037 cost= 0.332549989
Epoch: 0038 cost= 0.315172136
Epoch: 0039 cost= 0.327187657
Epoch: 0040 cost= 0.325040758
Epoch: 0041 cost= 0.309312582
Epoch: 0042 cost= 0.320819616
Epoch: 0043 cost= 0.304626793
Epoch: 0044 cost= 0.317004859
Epoch: 0045 cost= 0.307415009
Epoch: 0046 cost= 0.299994290
Epoch: 0047 cost= 0.300186276
Epoch: 0048 cost= 0.305350631
Epoch: 0049 cost= 0.310219556
Epoch: 0050 cost= 0.303078145
Epoch: 0051 cost= 0.296909690
Epoch: 0052 cost= 0.321003318
Epoch: 0053 cost= 0.286487699
Epoch: 0054 cost= 0.301387578
Epoch: 0055 cost= 0.314827532
Epoch: 0056 cost= 0.325666428
Epoch: 0057 cost= 0.311662495
Epoch: 0058 cost= 0.310556591
Epoch: 0059 cost= 0.288344741
Epoch: 0060 cost= 0.299239218
Epoch: 0061 cost= 0.296395808
